"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","0","26","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","67","1","0.000000","0","0"
"/MovieRenderPipeline/Materials/MoviePipeline_StencilCutout.MoviePipeline_StencilCutout","0","0","18","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","11","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","45","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","5","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
"/Game/UltraDynamicSky/Materials/Weather/WOV_Target_Brush.WOV_Target_Brush","0","0","5","1","0.000000","0","0"
"/Game/Cigar_room/Materials/M_whiskey_glass1.M_whiskey_glass1","0","0","33","1","0.000000","0","0"
"/Game/Cigar_room/Materials/M_wall_lamp1_glass_bulb.M_wall_lamp1_glass_bulb","0","0","23","1","0.000000","0","0"
"/Game/UltraDynamicSky/Materials/Weather/Radial_Storm_Cloud_Draw.Radial_Storm_Cloud_Draw","0","0","10","2","0.000000","0","0"
"/Game/SoulCave/Environment/Materials/Props/M_Wires02.M_Wires02","0","0","23","1","0.000000","0","0"
"/Game/SoulCave/Environment/Materials/Props/M_Glow.M_Glow","0","0","23","1","0.000000","0","0"
"/Game/Blueprint/ASSEST/1phlox_Leaf_002.1phlox_Leaf_002","0","0","14","1","0.000000","0","0"
"/Game/Blueprint/ASSEST/1phlox_Petiole_002.1phlox_Petiole_002","0","0","14","1","0.000000","0","0"
"/Game/Blueprint/ASSEST/1phlox_1Pdcel_002.1phlox_1Pdcel_002","0","0","14","1","0.000000","0","0"
"/Game/Blueprint/ASSEST/1phlox_1Petal1_002.1phlox_1Petal1_002","0","0","14","1","0.000000","0","0"
"/Game/Blueprint/ASSEST/1phlox_1InfInt_002.1phlox_1InfInt_002","0","0","14","1","0.000000","0","0"
"/Game/Blueprint/ASSEST/1phlox_Mrstm_002.1phlox_Mrstm_002","0","0","14","1","0.000000","0","0"
"/Game/Blueprint/ASSEST/1phlox_Intrnd_002.1phlox_Intrnd_002","0","0","14","1","0.000000","0","0"
"/Game/Blueprint/ASSEST/1phlox_1Pdncle_002.1phlox_1Pdncle_002","0","0","14","1","0.000000","0","0"
"/Game/Blueprint/Item/Locker/__LightGray_.__LightGray_","0","0","26","1","0.000000","0","0"
